stage,fold,epoch,train_loss,train_macro_f1,train_balanced_accuracy,train_per_class_recall,val_loss,val_macro_f1,val_balanced_accuracy,val_per_class_recall,test_loss,test_macro_f1,test_balanced_accuracy,test_per_class_recall,lr,epoch_sec,elapsed_min,eta_min,grad_norm_mean,grad_norm_max,prototype_alpha,prototype_initialized_count
stage2,0,1,0.9318849475657354,0.29331307766083253,0.33054599923806005,"{""0"": 0.30851063829787234, ""1"": 0.24210526315789474, ""2"": 0.35051546391752575, ""3"": 0.42105263157894735}",0.9359924545535794,0.2393433179723502,0.45407684813055654,"{""0"": 0.8823529411764706, ""1"": 0.043478260869565216, ""2"": 0.03333333333333333, ""3"": 0.8571428571428571}",0.9156990989725641,0.2003992628992629,0.39749999999999996,"{""0"": 0.84, ""1"": 0.0, ""2"": 0.0, ""3"": 0.75}",[0.0003],342.7052710056305,5.711771178245544,79.96456323464712,2.680707776546478,4.183557987213135,0.12671321630477905,4
stage2,0,2,0.9174552509042083,0.32601178355265625,0.3921678923124877,"{""0"": 0.43617021276595747, ""1"": 0.29473684210526313, ""2"": 0.20618556701030927, ""3"": 0.631578947368421}",1.032181216524793,0.28188614146060953,0.3773809523809524,"{""0"": 1.0, ""1"": 0.0, ""2"": 0.36666666666666664, ""3"": 0.14285714285714285}",1.0108983846420938,0.31876899696048633,0.395948275862069,"{""0"": 0.92, ""1"": 0.0, ""2"": 0.41379310344827586, ""3"": 0.25}",[0.0003],341.7422125339508,11.430891410509746,74.14847738345465,2.771567738056183,5.506136894226074,0.1265275478363037,4
stage2,0,3,0.8282439886546525,0.33946401533853754,0.4930403712725552,"{""0"": 0.48936170212765956, ""1"": 0.021052631578947368, ""2"": 0.5670103092783505, ""3"": 0.8947368421052632}",1.065534574644906,0.38490259740259736,0.46997320667397396,"{""0"": 0.9411764705882353, ""1"": 0.043478260869565216, ""2"": 0.4666666666666667, ""3"": 0.42857142857142855}",1.028404139457865,0.380944931163955,0.4670689655172414,"{""0"": 0.92, ""1"": 0.0, ""2"": 0.4482758620689655, ""3"": 0.5}",[0.0003],335.9259510040283,17.05598563750585,68.02489563624064,1.729450136423111,2.300189733505249,0.12643012404441833,4
stage2,0,4,0.8102127894026334,0.4854791339587474,0.5539866198727791,"{""0"": 0.648936170212766, ""1"": 0.3157894736842105, ""2"": 0.5670103092783505, ""3"": 0.6842105263157895}",0.9297535744580355,0.49879666777147325,0.5440293508707831,"{""0"": 0.8235294117647058, ""1"": 0.34782608695652173, ""2"": 0.43333333333333335, ""3"": 0.5714285714285714}",0.9046655944053162,0.5062049062049062,0.5060021551724139,"{""0"": 0.76, ""1"": 0.40625, ""2"": 0.4827586206896552, ""3"": 0.375}",[0.0003],333.82958912849426,22.641738037268322,62.06763858497143,2.909980630874634,4.855612754821777,0.12625476717948914,4
stage2,0,5,0.7697214550659305,0.5260037746414562,0.6001131365373293,"{""0"": 0.723404255319149, ""1"": 0.5473684210526316, ""2"": 0.3402061855670103, ""3"": 0.7894736842105263}",0.815507283458462,0.5206308610400682,0.6034374619412982,"{""0"": 0.7058823529411765, ""1"": 0.21739130434782608, ""2"": 0.6333333333333333, ""3"": 0.8571428571428571}",0.7919045280902943,0.5264885387836207,0.6075969827586207,"{""0"": 0.8, ""1"": 0.15625, ""2"": 0.7241379310344828, ""3"": 0.75}",[0.0003],332.49014806747437,28.2089958747228,56.223105724652605,2.7752511978149412,4.1050262451171875,0.1259898692369461,4
stage2,0,6,0.7165132997465915,0.5704613693446878,0.6642240334330012,"{""0"": 0.7659574468085106, ""1"": 0.3157894736842105, ""2"": 0.6804123711340206, ""3"": 0.8947368421052632}",0.8598004378281631,0.5614279888880394,0.6175039581049812,"{""0"": 0.5882352941176471, ""1"": 0.391304347826087, ""2"": 0.6333333333333333, ""3"": 0.8571428571428571}",0.8310184009531711,0.5722049825174825,0.6239008620689656,"{""0"": 0.64, ""1"": 0.3125, ""2"": 0.7931034482758621, ""3"": 0.75}",[0.0003],332.310950756073,33.768994987010956,50.475103062391284,2.3391254544258118,3.4729256629943848,0.12573176622390747,4
stage2,0,7,0.7236602929771924,0.6517624884838,0.703669722122811,"{""0"": 0.7553191489361702, ""1"": 0.5894736842105263, ""2"": 0.6804123711340206, ""3"": 0.7894736842105263}",0.8816183441645139,0.5923423423423423,0.6616216051638046,"{""0"": 0.7647058823529411, ""1"": 0.391304347826087, ""2"": 0.6333333333333333, ""3"": 0.8571428571428571}",0.8519084986220015,0.5694124423963134,0.6460883620689655,"{""0"": 0.76, ""1"": 0.28125, ""2"": 0.7931034482758621, ""3"": 0.75}",[0.0003],331.61314129829407,39.31754738489787,44.77366216750372,3.0415964007377623,4.227678298950195,0.12540969252586365,4
stage2,0,8,0.6973207573421666,0.676430907023468,0.7380744854019233,"{""0"": 0.8085106382978723, ""1"": 0.5789473684210527, ""2"": 0.6701030927835051, ""3"": 0.8947368421052632}",0.8974518466305423,0.6350035852928814,0.6827852880282548,"{""0"": 0.7058823529411765, ""1"": 0.43478260869565216, ""2"": 0.7333333333333333, ""3"": 0.8571428571428571}",0.8599210280053159,0.6212084833933573,0.660334051724138,"{""0"": 0.72, ""1"": 0.46875, ""2"": 0.8275862068965517, ""3"": 0.625}",[0.0003],334.78157448768616,44.918540290991466,39.16206639160713,2.8068357825279238,5.070376873016357,0.12507838010787964,4
stage2,0,9,0.687287317338537,0.6605789813232702,0.7326993454243197,"{""0"": 0.7659574468085106, ""1"": 0.6, ""2"": 0.6701030927835051, ""3"": 0.8947368421052632}",0.7851771843897832,0.5753066637449726,0.6783522104493971,"{""0"": 0.8823529411764706, ""1"": 0.17391304347826086, ""2"": 0.8, ""3"": 0.8571428571428571}",0.8612661184148586,0.47380095835587854,0.5478556034482758,"{""0"": 0.88, ""1"": 0.15625, ""2"": 0.6551724137931034, ""3"": 0.5}",[0.0003],336.8153238296509,50.55404566526413,33.58015735679203,3.6180131316184996,6.769386291503906,0.12469704449176788,4
stage2,0,10,0.7517910087694887,0.6293679403733692,0.6720365153946504,"{""0"": 0.7553191489361702, ""1"": 0.6105263157894737, ""2"": 0.6907216494845361, ""3"": 0.631578947368421}",0.8782435655593872,0.63349478390462,0.6929941541834125,"{""0"": 0.8235294117647058, ""1"": 0.391304347826087, ""2"": 0.7, ""3"": 0.8571428571428571}",0.8646323477968256,0.5724538619275461,0.6571336206896552,"{""0"": 0.76, ""1"": 0.1875, ""2"": 0.9310344827586207, ""3"": 0.75}",[0.0003],333.37657713890076,56.12358861366908,27.963256160418194,4.365073013305664,7.094395637512207,0.1243659257888794,4
stage2,0,11,0.6943928454743057,0.7162007833436405,0.7794709135198162,"{""0"": 0.7659574468085106, ""1"": 0.6736842105263158, ""2"": 0.7835051546391752, ""3"": 0.8947368421052632}",0.9674183981759208,0.7046594982078853,0.7506028498355864,"{""0"": 0.8235294117647058, ""1"": 0.5217391304347826, ""2"": 0.8, ""3"": 0.8571428571428571}",0.956358364287843,0.6452134610029346,0.6709051724137931,"{""0"": 0.8, ""1"": 0.5, ""2"": 0.7586206896551724, ""3"": 0.625}",[0.0003],331.6149160861969,61.66250379085541,22.34670094143261,3.6412766933441163,5.716684818267822,0.12394984811544418,4
