fold,layer,backbone_path,backbone_exists,history_path,history_exists,epochs,first_loss,final_loss,best_loss,loss_decrease_first_to_best
3,sup,outputs\phase3_octa_simclr\simclr_fold_train_fold3_sup_backbone.pt,True,outputs\phase3_octa_simclr\simclr_fold_train_fold3_sup_history.csv,True,100,5.474377870559692,1.869104027748108,1.542210578918457,3.9321672916412354
3,deep,outputs\phase3_octa_simclr\simclr_fold_train_fold3_deep_backbone.pt,True,outputs\phase3_octa_simclr\simclr_fold_train_fold3_deep_history.csv,True,100,5.502538442611694,2.1451836824417114,2.0736905336380005,3.428847908973694
3,cc,outputs\phase3_octa_simclr\simclr_fold_train_fold3_cc_backbone.pt,True,outputs\phase3_octa_simclr\simclr_fold_train_fold3_cc_history.csv,True,100,5.519109010696411,3.009220242500305,2.780647397041321,2.7384616136550903
