stage,fold,epoch,train_loss,train_macro_f1,train_balanced_accuracy,train_per_class_recall,val_loss,val_macro_f1,val_balanced_accuracy,val_per_class_recall,test_loss,test_macro_f1,test_balanced_accuracy,test_per_class_recall,lr,epoch_sec,elapsed_min,eta_min,grad_norm_mean,grad_norm_max,prototype_alpha,prototype_initialized_count
stage3,3,1,0.6708808390820613,0.7645623207321417,0.7918269230769232,"{""0"": 0.8351648351648352, ""1"": 0.875, ""2"": 0.7428571428571429, ""3"": 0.7142857142857143}",0.7960573574165245,0.6862240551074051,0.6949976624590931,"{""0"": 0.6666666666666666, ""1"": 0.7741935483870968, ""2"": 0.7391304347826086, ""3"": 0.6}",0.8392552847557879,0.7562030471498162,0.765729006656426,"{""0"": 0.7777777777777778, ""1"": 0.8387096774193549, ""2"": 0.8214285714285714, ""3"": 0.625}","[6e-06, 5.9999999999999995e-05]",446.67099142074585,7.4445165236790976,737.0071358442307,inf,inf,0.12326497584581375,4
stage3,3,2,0.6516257495176597,0.763572007119061,0.7942890442890442,"{""0"": 0.8351648351648352, ""1"": 0.8181818181818182, ""2"": 0.7619047619047619, ""3"": 0.7619047619047619}",0.8606420244489398,0.6651402842440579,0.6844787283777466,"{""0"": 0.6666666666666666, ""1"": 0.6451612903225806, ""2"": 0.8260869565217391, ""3"": 0.6}",0.8266406604584228,0.7129221881060117,0.7396633384536611,"{""0"": 0.7777777777777778, ""1"": 0.6451612903225806, ""2"": 0.7857142857142857, ""3"": 0.75}","[1.2e-05, 0.00011999999999999999]",465.7432153224945,15.25904604991277,745.138268840313,7.014145851135254,18.15975570678711,0.12314293533563614,4
stage3,3,3,0.6631652298520823,0.8430173059066425,0.8472277722277723,"{""0"": 0.8681318681318682, ""1"": 0.8636363636363636, ""2"": 0.8476190476190476, ""3"": 0.8095238095238095}",0.9580210710500742,0.550300710770913,0.5637174692223781,"{""0"": 0.6111111111111112, ""1"": 0.7741935483870968, ""2"": 0.8695652173913043, ""3"": 0.0}",0.8902179991945307,0.6391639610389611,0.6394062553336747,"{""0"": 0.6296296296296297, ""1"": 0.8387096774193549, ""2"": 0.9642857142857143, ""3"": 0.125}","[1.8e-05, 0.00017999999999999998]",470.1266486644745,23.121732938289643,745.0359054141574,7.591485333442688,12.78786849975586,0.12294508516788483,4
stage3,3,4,0.6799207650247168,0.6764362891064364,0.7433483183483184,"{""0"": 0.7582417582417582, ""1"": 0.6818181818181818, ""2"": 0.6761904761904762, ""3"": 0.8571428571428571}",1.174951138434472,0.5509825732295143,0.5637174692223781,"{""0"": 0.6111111111111112, ""1"": 0.7741935483870968, ""2"": 0.8695652173913043, ""3"": 0.0}",1.1573215570855648,0.604990045325539,0.6050893923877795,"{""0"": 0.5925925925925926, ""1"": 0.7741935483870968, ""2"": 0.9285714285714286, ""3"": 0.125}","[2.4e-05, 0.00023999999999999998]",465.57286524772644,30.906402162710826,739.2454882621765,6.5659547567367555,10.046091079711914,0.12270517647266388,4
stage3,3,5,0.7385777236985378,0.7999913408648096,0.8136176323676323,"{""0"": 0.8021978021978022, ""1"": 0.8522727272727273, ""2"": 0.7904761904761904, ""3"": 0.8095238095238095}",0.7548724939296771,0.6804618853620669,0.7026336294218483,"{""0"": 0.5555555555555556, ""1"": 0.7419354838709677, ""2"": 0.9130434782608695, ""3"": 0.6}",0.8633549505091728,0.640070085737117,0.6751952124935996,"{""0"": 0.4444444444444444, ""1"": 0.7741935483870968, ""2"": 0.8571428571428571, ""3"": 0.625}","[3e-05, 0.0003]",473.8753881454468,38.83006544907888,735.2965511202813,8.218712782859802,22.64749526977539,0.12234003841876984,4
stage3,3,6,0.7465462113990158,0.722960646812374,0.7729458041958042,"{""0"": 0.7362637362637363, ""1"": 0.7840909090909091, ""2"": 0.7619047619047619, ""3"": 0.8095238095238095}",0.8149066652570452,0.6486252217384293,0.676628486831853,"{""0"": 0.7222222222222222, ""1"": 0.6451612903225806, ""2"": 0.7391304347826086, ""3"": 0.6}",0.9324687110616806,0.6393130131221589,0.6680907578084997,"{""0"": 0.7777777777777778, ""1"": 0.4838709677419355, ""2"": 0.7857142857142857, ""3"": 0.625}","[2.999179886011389e-05, 0.0002999179886011389]",465.1741645336151,46.60917023817698,727.7592991484536,7.010875511169433,16.02170753479004,0.12198895961046219,4
stage3,3,7,0.6662605170343743,0.7744688653663955,0.8195596070596071,"{""0"": 0.8351648351648352, ""1"": 0.7954545454545454, ""2"": 0.7904761904761904, ""3"": 0.8571428571428571}",1.0317632826891812,0.5674496976905541,0.5799984416393954,"{""0"": 0.7777777777777778, ""1"": 0.5161290322580645, ""2"": 0.8260869565217391, ""3"": 0.2}",0.9795241457350711,0.666202070770281,0.6940124167946748,"{""0"": 0.7777777777777778, ""1"": 0.5161290322580645, ""2"": 0.8571428571428571, ""3"": 0.625}","[2.9967204408281618e-05, 0.00029967204408281613]",459.8407292366028,54.29877549807231,718.9794577121735,6.272757506370544,12.651910781860352,0.12163739651441574,4
stage3,3,8,0.6432477149807039,0.8090015125706933,0.8619567932067932,"{""0"": 0.8351648351648352, ""1"": 0.7840909090909091, ""2"": 0.8285714285714286, ""3"": 1.0}",1.1363591404704305,0.523972975918056,0.5456404862085087,"{""0"": 0.8333333333333334, ""1"": 0.8709677419354839, ""2"": 0.4782608695652174, ""3"": 0.0}",1.0952553749084473,0.5922344446598178,0.5936966632531149,"{""0"": 0.7037037037037037, ""1"": 0.9032258064516129, ""2"": 0.6428571428571429, ""3"": 0.125}","[2.9926243538175172e-05, 0.0002992624353817517]",467.3005781173706,62.11320515076319,711.9083779652914,4.592972254753112,6.925107479095459,0.12126973271369934,4
stage3,3,9,0.7664367994324106,0.7250315404507633,0.7722943722943723,"{""0"": 0.7142857142857143, ""1"": 0.7272727272727273, ""2"": 0.8857142857142857, ""3"": 0.7619047619047619}",0.9887306597325709,0.59487087517934,0.5926211625370111,"{""0"": 0.7777777777777778, ""1"": 0.8709677419354839, ""2"": 0.5217391304347826, ""3"": 0.2}",0.9034089129021827,0.7162707390648567,0.7154271206690561,"{""0"": 0.7407407407407407, ""1"": 0.8709677419354839, ""2"": 0.75, ""3"": 0.5}","[2.9868961039904628e-05, 0.00029868961039904624]",458.15156602859497,69.77578625679016,703.1361284282473,10.39576233625412,31.863140106201172,0.12093595415353775,4
stage3,3,10,0.6548499421995194,0.8017597391524903,0.8387175324675324,"{""0"": 0.8571428571428571, ""1"": 0.8977272727272727, ""2"": 0.7904761904761904, ""3"": 0.8095238095238095}",1.0544033685287872,0.5877076481057264,0.5988507090540751,"{""0"": 0.6111111111111112, ""1"": 0.6451612903225806, ""2"": 0.7391304347826086, ""3"": 0.4}",1.1930878695021285,0.6049882708340365,0.6643785202252944,"{""0"": 0.5555555555555556, ""1"": 0.5483870967741935, ""2"": 0.6785714285714286, ""3"": 0.875}","[2.9795419551040836e-05, 0.00029795419551040833]",466.7022762298584,77.58046250343322,695.8737634420395,inf,inf,0.12064837664365768,4
