stage,fold,epoch,train_loss,train_macro_f1,train_balanced_accuracy,train_per_class_recall,val_loss,val_macro_f1,val_balanced_accuracy,val_per_class_recall,test_loss,test_macro_f1,test_balanced_accuracy,test_per_class_recall,lr,epoch_sec,elapsed_min,eta_min,grad_norm_mean,grad_norm_max,prototype_alpha,prototype_initialized_count
stage2,3,1,0.9806539703588016,0.2876103044271351,0.3614822677322677,"{""0"": 0.3956043956043956, ""1"": 0.19318181818181818, ""2"": 0.23809523809523808, ""3"": 0.6190476190476191}",0.9111697317717912,0.2922619047619047,0.4806763285024155,"{""0"": 0.4444444444444444, ""1"": 0.0, ""2"": 0.4782608695652174, ""3"": 1.0}",0.9209195020351004,0.33593406593406594,0.4740410052910053,"{""0"": 0.5925925925925926, ""1"": 0.0, ""2"": 0.42857142857142855, ""3"": 0.875}",[0.0003],332.7646794319153,5.546077990531922,77.6450918674469,3.3499208450317384,5.378060340881348,0.12670913338661194,4
stage2,3,2,0.9151755413071054,0.3992562702943271,0.507265651015651,"{""0"": 0.5824175824175825, ""1"": 0.17045454545454544, ""2"": 0.41904761904761906, ""3"": 0.8571428571428571}",1.0126427582332067,0.3847466845165879,0.40719962599345483,"{""0"": 0.6666666666666666, ""1"": 0.4838709677419355, ""2"": 0.4782608695652174, ""3"": 0.0}",1.0641522483622774,0.5144273618538325,0.5055043522785458,"{""0"": 0.7777777777777778, ""1"": 0.3870967741935484, ""2"": 0.6071428571428571, ""3"": 0.25}",[0.0003],338.6777446269989,11.21115710735321,72.7395959397157,2.9472188711166383,4.660102844238281,0.12649506330490112,4
stage2,3,3,0.9157295324763314,0.42537410973461487,0.49381451881451877,"{""0"": 0.5384615384615384, ""1"": 0.22727272727272727, ""2"": 0.5428571428571428, ""3"": 0.6666666666666666}",0.9953755744091877,0.3305555555555556,0.39122253389434314,"{""0"": 0.8333333333333334, ""1"": 0.0967741935483871, ""2"": 0.43478260869565216, ""3"": 0.2}",0.9818361541058155,0.39597592809667115,0.45796530977982586,"{""0"": 0.8888888888888888, ""1"": 0.03225806451612903, ""2"": 0.5357142857142857, ""3"": 0.375}",[0.0003],349.4147047996521,17.056624205907188,68.05714192390442,2.994369161128998,4.387931823730469,0.12624934315681458,4
stage2,3,4,0.8353966324055782,0.5268075980392156,0.6087641525141525,"{""0"": 0.6923076923076923, ""1"": 0.3522727272727273, ""2"": 0.5333333333333333, ""3"": 0.8571428571428571}",0.8765242270060948,0.5884602131394092,0.5995480754246533,"{""0"": 0.5555555555555556, ""1"": 0.6774193548387096, ""2"": 0.5652173913043478, ""3"": 0.6}",0.8758777227807553,0.5837719298245613,0.5911471667520054,"{""0"": 0.7407407407407407, ""1"": 0.6774193548387096, ""2"": 0.5714285714285714, ""3"": 0.375}",[0.0003],330.5631892681122,22.576860702037813,61.94009791413943,2.4750812649726868,4.13109827041626,0.12597310543060303,4
stage2,3,5,0.7552186285863157,0.5983020915968893,0.6664897602397603,"{""0"": 0.7032967032967034, ""1"": 0.5340909090909091, ""2"": 0.5714285714285714, ""3"": 0.8571428571428571}",0.8942858599997187,0.5748553519768563,0.5663783699548075,"{""0"": 0.5555555555555556, ""1"": 0.4838709677419355, ""2"": 0.8260869565217391, ""3"": 0.4}",0.8844503899838062,0.6222699606158253,0.6341205837173578,"{""0"": 0.6666666666666666, ""1"": 0.5483870967741935, ""2"": 0.8214285714285714, ""3"": 0.5}",[0.0003],330.5532293319702,28.10975068807602,56.06578491528829,2.1582157254219054,3.0094313621520996,0.12578779458999634,4
stage2,3,6,0.7778541054881987,0.6034111510317094,0.6660381285381285,"{""0"": 0.6483516483516484, ""1"": 0.5681818181818182, ""2"": 0.638095238095238, ""3"": 0.8095238095238095}",0.8056577707265878,0.5993055555555555,0.6412147420913199,"{""0"": 0.7222222222222222, ""1"": 0.6774193548387096, ""2"": 0.5652173913043478, ""3"": 0.6}",0.7572841314559288,0.6685483870967741,0.7080986516470387,"{""0"": 0.6296296296296297, ""1"": 0.7741935483870968, ""2"": 0.6785714285714286, ""3"": 0.75}",[0.0003],335.9253075122833,33.7195391813914,50.4474713742733,3.6772888898849487,5.3436479568481445,0.12551841139793396,4
stage2,3,7,0.6749089422773142,0.7053282762393457,0.7661525974025973,"{""0"": 0.7142857142857143, ""1"": 0.6931818181818182, ""2"": 0.7047619047619048, ""3"": 0.9523809523809523}",0.9217521215414072,0.6885238458465002,0.6591008259311205,"{""0"": 0.7777777777777778, ""1"": 0.8064516129032258, ""2"": 0.6521739130434783, ""3"": 0.4}",0.8649002770160107,0.756564465408805,0.7495413039767879,"{""0"": 0.8518518518518519, ""1"": 0.967741935483871, ""2"": 0.6785714285714286, ""3"": 0.5}",[0.0003],329.422101020813,39.23099325895309,44.71087535222372,2.2621140360832213,3.379324197769165,0.12526799738407135,4
stage2,3,8,0.6723457539667849,0.7366769908085669,0.7788919413919414,"{""0"": 0.8131868131868132, ""1"": 0.75, ""2"": 0.6952380952380952, ""3"": 0.8571428571428571}",0.9049360937886424,0.5986928104575163,0.6123889668069191,"{""0"": 0.6666666666666666, ""1"": 0.7741935483870968, ""2"": 0.6086956521739131, ""3"": 0.4}",0.8795254179771911,0.6498875754135222,0.6893774534903567,"{""0"": 0.6296296296296297, ""1"": 0.8064516129032258, ""2"": 0.5714285714285714, ""3"": 0.75}",[0.0003],328.9508399963379,44.734876648585,39.028963691492876,2.9899022817611693,5.256933212280273,0.12494783848524094,4
stage2,3,9,0.6681855446002523,0.7739971460282227,0.8107517482517483,"{""0"": 0.8241758241758241, ""1"": 0.7045454545454546, ""2"": 0.7619047619047619, ""3"": 0.9523809523809523}",0.8077569611660846,0.5965522939207151,0.5842605578930964,"{""0"": 0.5555555555555556, ""1"": 0.9032258064516129, ""2"": 0.4782608695652174, ""3"": 0.4}",0.7836966666769474,0.6802113225765698,0.6998474569039086,"{""0"": 0.5925925925925926, ""1"": 0.9032258064516129, ""2"": 0.6785714285714286, ""3"": 0.625}",[0.0003],331.5064241886139,50.272554437319435,33.419758001963295,3.2953865051269533,5.942707061767578,0.12454675883054733,4
stage2,3,10,0.6460147867437269,0.7653641398398231,0.8076631701631701,"{""0"": 0.7802197802197802, ""1"": 0.8409090909090909, ""2"": 0.7047619047619048, ""3"": 0.9047619047619048}",0.8356222270371078,0.661172161172161,0.7014414835592957,"{""0"": 0.5555555555555556, ""1"": 0.5806451612903226, ""2"": 0.8695652173913043, ""3"": 0.8}",0.8787581248486296,0.6045261315328833,0.6518497183819765,"{""0"": 0.5555555555555556, ""1"": 0.5161290322580645, ""2"": 0.7857142857142857, ""3"": 0.75}",[0.0003],332.42730259895325,55.82434281905492,27.835046023130417,3.5796658992767334,9.310275077819824,0.12418075650930405,4
stage2,3,11,0.7246761282936471,0.6969539374287659,0.7483911921411921,"{""0"": 0.8681318681318682, ""1"": 0.7159090909090909, ""2"": 0.6476190476190476, ""3"": 0.7619047619047619}",0.8574031335966927,0.670280843237125,0.7006077606358112,"{""0"": 0.6666666666666666, ""1"": 0.7096774193548387, ""2"": 0.8260869565217391, ""3"": 0.6}",1.0183138847351074,0.6140873015873016,0.6578554360812425,"{""0"": 0.5185185185185185, ""1"": 0.6129032258064516, ""2"": 0.75, ""3"": 0.75}",[0.0003],330.2357521057129,61.33900539477666,22.245098635644624,5.327181768417359,9.769554138183594,0.12376773357391357,4
stage2,3,12,0.6922707624122745,0.7655015010071132,0.8105977355977356,"{""0"": 0.7692307692307693, ""1"": 0.8636363636363636, ""2"": 0.8, ""3"": 0.8095238095238095}",0.7479862470131415,0.6948762591717449,0.7004714040829049,"{""0"": 0.7222222222222222, ""1"": 0.8709677419354839, ""2"": 0.6086956521739131, ""3"": 0.6}",0.8186558941577343,0.7278161907366174,0.7448210018774535,"{""0"": 0.6296296296296297, ""1"": 0.9032258064516129, ""2"": 0.8214285714285714, ""3"": 0.625}",[0.0003],329.9218683242798,66.84875322182974,16.668179763356843,4.394416928291321,8.643296241760254,0.12332109361886978,4
stage2,3,13,0.6273124047967255,0.8114063268128329,0.8614281551781551,"{""0"": 0.8241758241758241, ""1"": 0.8977272727272727, ""2"": 0.7714285714285715, ""3"": 0.9523809523809523}",0.9047032826906675,0.5518746789933231,0.5667367928938757,"{""0"": 0.6666666666666666, ""1"": 0.7741935483870968, ""2"": 0.8260869565217391, ""3"": 0.0}",0.8778920249736055,0.6086375028480291,0.6069455111793821,"{""0"": 0.7037037037037037, ""1"": 0.7419354838709677, ""2"": 0.8571428571428571, ""3"": 0.125}",[0.0003],354.07920932769775,72.77109748125076,11.16523680136754,3.039297366142273,4.699807167053223,0.12286020070314407,4
stage2,3,14,0.6925691391600937,0.681828339482759,0.7195679320679321,"{""0"": 0.7802197802197802, ""1"": 0.8409090909090909, ""2"": 0.638095238095238, ""3"": 0.6190476190476191}",1.0943075333322798,0.6144491129785248,0.7222027427146642,"{""0"": 0.6111111111111112, ""1"": 0.45161290322580644, ""2"": 0.8260869565217391, ""3"": 1.0}",1.2659447345327823,0.5374463728963308,0.5814878818911077,"{""0"": 0.48148148148148145, ""1"": 0.45161290322580644, ""2"": 0.6428571428571429, ""3"": 0.75}",[0.0003],342.5246391296387,78.49034141302108,5.591627371027356,4.776724886894226,7.695429801940918,0.12249604612588882,4
stage2,3,15,0.7047159132410268,0.806394101070392,0.8524454711954712,"{""0"": 0.8241758241758241, ""1"": 0.8522727272727273, ""2"": 0.8285714285714286, ""3"": 0.9047619047619048}",0.8070355963397335,0.6421944933597475,0.6530621785881253,"{""0"": 0.6666666666666666, ""1"": 0.8064516129032258, ""2"": 0.7391304347826086, ""3"": 0.4}",0.7886799345625207,0.7188184747583244,0.7537335722819594,"{""0"": 0.7407407407407407, ""1"": 0.7741935483870968, ""2"": 0.75, ""3"": 0.75}",[0.0003],336.65874767303467,84.11272056102753,0.0,4.159711599349976,8.188740730285645,0.12204129248857498,4
