true_class,RETINORM,ORNET,FAMILIPO,MRCC
RETINORM,0.7426470588235294,0.04411764705882353,0.16176470588235295,0.051470588235294115
ORNET,0.02,0.7866666666666666,0.16,0.03333333333333333
FAMILIPO,0.07692307692307693,0.10256410256410256,0.7692307692307693,0.05128205128205128
MRCC,0.11764705882352941,0.20588235294117646,0.17647058823529413,0.5
