true_class,RETINORM,ORNET,FAMILIPO,MRCC
RETINORM,0.84,0.013333333333333334,0.08,0.06666666666666667
ORNET,0.0,0.8571428571428571,0.1038961038961039,0.03896103896103896
FAMILIPO,0.04938271604938271,0.08641975308641975,0.8148148148148148,0.04938271604938271
MRCC,0.0625,0.21875,0.1875,0.53125
