level,class_id,class_name,support,precision,recall,sensitivity,specificity,f1,roc_auc_ovr,pr_auc_ovr,tp,tn,fp,fn
eye,0,RETINORM,136,0.8416666666666667,0.7426470588235294,0.7426470588235294,0.9441176470588235,0.7890625,0.927530276816609,0.8857532772353431,101,321,19,35
eye,1,ORNET,150,0.8027210884353742,0.7866666666666666,0.7866666666666666,0.911042944785276,0.7946127946127947,0.9244989775051126,0.8473347656231976,118,297,29,32
eye,2,FAMILIPO,156,0.6976744186046512,0.7692307692307693,0.7692307692307693,0.8375,0.7317073170731707,0.8737379807692308,0.7894788994783071,120,268,52,36
eye,3,MRCC,34,0.4594594594594595,0.5,0.5,0.9547511312217195,0.4788732394366197,0.7842028214000533,0.41063370626503637,17,422,20,17
patient,0,RETINORM,75,0.9130434782608695,0.84,0.84,0.968421052631579,0.875,0.964421052631579,0.9346173251335326,63,184,6,12
patient,1,ORNET,77,0.8148148148148148,0.8571428571428571,0.8571428571428571,0.9202127659574468,0.8354430379746836,0.9376899696048632,0.8437996633708899,66,173,15,11
patient,2,FAMILIPO,81,0.7674418604651163,0.8148148148148148,0.8148148148148148,0.8913043478260869,0.7904191616766467,0.9066693505099302,0.8082575293837372,66,164,20,15
patient,3,MRCC,32,0.5862068965517241,0.53125,0.53125,0.9484978540772532,0.5573770491803278,0.785005364806867,0.5945489702008313,17,221,12,15
