level,n_samples,n_patients,accuracy,macro_roc_auc_ovr,macro_f1,balanced_accuracy,weighted_f1,macro_pr_auc_ovr,top2_accuracy,ece_10,brier_multiclass,mean_confidence,top30_confidence_coverage,top30_confidence_accuracy
eye,476,265,0.7478991596638656,0.8774925141227514,0.6985639627806463,0.6996361236802413,0.7498580899079389,0.7333001621504711,0.907563025210084,0.03463737892002617,0.3752838661781258,0.7736839134903515,0.3004201680672269,0.9090909090909091
patient,265,265,0.8,0.8984464343883098,0.7645598122079145,0.760801917989418,0.7992986097872811,0.7953058720222477,0.9433962264150944,0.0682038886525299,0.3351293461308674,0.7347650704360655,0.3018867924528302,0.9125
