level,status,n_samples,mean_prediction_entropy,entropy_accuracy_spearman_rho,mc_accuracy,top30_confidence_coverage,top30_confidence_accuracy
eye,available,476,0.9594921476262457,-0.2516673788264755,0.7184873949579832,0.3004201680672269,0.8321678321678322
patient,available,265,1.001195591267025,-0.20946656577810638,0.7547169811320755,0.3018867924528302,0.875
