layer,path,height,width,mean,std,min,max,zero_variance,readable
sup,J:\Rasta dataset\1_RETINORM\1COMO46\sup OD.bmp,1024,1024,107.82810974121094,64.01812744140625,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1COMO46\sup OS.bmp,1024,1024,89.49431610107422,61.55996322631836,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DEAN00\sup OD.bmp,1024,1024,108.95054626464844,70.53328704833984,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DEAN00\sup OS.bmp,1024,1024,118.75263977050781,66.7086410522461,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DELU89\sup OD.bmp,1024,1024,116.90161895751953,63.644561767578125,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DELU89\sup OS.bmp,1024,1024,120.6642837524414,67.11255645751953,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DEMI47\sup OD.bmp,1024,1024,109.32112884521484,74.82850646972656,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DODE56\sup OD.bmp,1024,1024,102.65323638916016,70.94267272949219,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DODE56\sup OS.bmp,1024,1024,99.29566955566406,63.76095199584961,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DOJE03\sup OD.bmp,1024,1024,120.48268127441406,66.60517883300781,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DOJE03\sup OS.bmp,1024,1024,134.01351928710938,66.57862854003906,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DUAR56\sup OD.bmp,1024,1024,95.41431427001953,65.04772186279297,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DUAR56\sup OS.bmp,1024,1024,110.86316680908203,59.748836517333984,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1DURE52\sup OD.bmp,1024,1024,80.39716339111328,60.51791000366211,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1ECSM70\sup OD.bmp,1024,1024,98.5821304321289,71.645263671875,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1EIPE93\sup OD.bmp,1024,1024,89.75437927246094,56.813438415527344,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1EIPE93\sup OS.bmp,1024,1024,111.551513671875,58.26423645019531,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1GAAM65\sup OD.bmp,1024,1024,98.04877471923828,69.29539489746094,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1GAAM65\sup OS.bmp,1024,1024,103.53748321533203,63.61517333984375,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1GECL95\sup OD.bmp,1024,1024,123.825439453125,70.2448501586914,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1GECL95\sup OS.bmp,1024,1024,127.10226440429688,70.26469421386719,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1GIDY97\sup OD.bmp,1024,1024,112.57362365722656,67.4681167602539,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1GIDY97\sup OS.bmp,1024,1024,114.17156219482422,65.8240737915039,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1GIPA95\sup OD.bmp,1024,1024,98.08723449707031,68.96314239501953,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1GIPA95\sup OS.bmp,1024,1024,112.07178497314453,65.78860473632812,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1HAMA91\sup OD.bmp,1024,1024,118.92428588867188,73.84719848632812,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1HAMA91\sup OS.bmp,1024,1024,118.08688354492188,74.39556121826172,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1HEAC80\sup OD.bmp,1024,1024,112.31355285644531,73.31621551513672,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1HUST86\sup OD.bmp,1024,1024,114.63728332519531,67.7021713256836,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1HUST86\sup OS.bmp,1024,1024,120.40670776367188,66.9478988647461,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1JOCH58\sup OD.bmp,1024,1024,110.0794677734375,66.55022430419922,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1JOCH58\sup OS.bmp,1024,1024,109.25917053222656,66.35859680175781,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1LALU48\sup OD.bmp,1024,1024,99.90919494628906,63.28077697753906,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1LALU48\sup OS.bmp,1024,1024,95.68649291992188,63.99591064453125,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MAFL80\sup OD.bmp,1024,1024,105.23865509033203,68.1182632446289,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MAFL80\sup OS.bmp,1024,1024,111.30206298828125,71.4092788696289,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MALU47\sup OD.bmp,1024,1024,109.38858795166016,66.50555419921875,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MALU47\sup OS.bmp,1024,1024,109.46753692626953,64.94815826416016,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MAMB54\sup OS.bmp,1024,1024,111.94784545898438,65.5425033569336,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MAMI45\sup OD.bmp,1024,1024,100.92048645019531,65.16603088378906,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MAMI45\sup OS.bmp,1024,1024,116.56890106201172,68.36897277832031,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MANA66\sup OD.bmp,1024,1024,104.395751953125,68.08323669433594,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MANA66\sup OS.bmp,1024,1024,112.61544799804688,70.07806396484375,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MASA94\sup OD.bmp,1024,1024,113.54798889160156,73.40824890136719,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MASA94\sup OS.bmp,1024,1024,119.14410400390625,72.15869903564453,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MEMA94\sup OD.bmp,1024,1024,110.7714614868164,66.24598693847656,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MEMA94\sup OS.bmp,1024,1024,104.29666137695312,71.49308013916016,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOAN49\sup OD.bmp,1024,1024,98.54701232910156,63.339900970458984,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOAN49\sup OS.bmp,1024,1024,107.55870056152344,63.00996780395508,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOEV80\sup OD.bmp,1024,1024,110.54700469970703,69.49152374267578,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOEV80\sup OS.bmp,1024,1024,107.89317321777344,73.2167739868164,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOFR60\sup OD.bmp,1024,1024,109.6314697265625,70.48435974121094,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOFR60\sup OS.bmp,1024,1024,116.66609191894531,69.72315979003906,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOPI46\sup OD.bmp,1024,1024,99.17060852050781,66.89320373535156,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOVE62\sup OD.bmp,1024,1024,97.00873565673828,62.737796783447266,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MOVE62\sup OS.bmp,1024,1024,112.14057159423828,63.54772186279297,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MUFA65\sup OD.bmp,1024,1024,97.56149291992188,67.48175811767578,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1MUFA65\sup OS.bmp,1024,1024,108.59271240234375,68.92989349365234,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1NUMA46\sup OD.bmp,1024,1024,94.25215148925781,55.12335205078125,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1NUMA46\sup OS.bmp,1024,1024,103.91758728027344,60.35752487182617,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1NUSI34\sup OD.bmp,1024,1024,95.72005462646484,58.82783126831055,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1NUSI34\sup OS.bmp,1024,1024,108.02310943603516,61.714599609375,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1ORVA79\sup OD.bmp,1024,1024,118.10073852539062,69.18844604492188,0.0,255.0,False,True
