,Age,Age,Age,Age,Age,Age,Sex,Sex,Sex,Sex,Sex,Sex,Body mass index,Body mass index,Body mass index,Body mass index,Body mass index,Body mass index
,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max
cohort,,,,,,,,,,,,,,,,,,
FAMILIPO,81,52.83544731946559,18.69473777715315,57.30684931506849,11.547945205479452,79.0027397260274,81,0.4691358024691358,0.5021558461545186,0.0,0,1,78,26.33800289922466,5.010060792795367,25.954076556017718,16.514731140177037,41.62330905306971
MRCC,32,69.5765410958904,7.014792603366994,69.55479452054794,49.632876712328766,82.33972602739726,32,0.15625,0.36890203262847354,0.0,0,1,32,27.474798974648262,3.3587082010728064,26.46768694471327,22.49134948096886,35.03102748148359
ORNET,77,54.35000889521437,12.931746536123887,55.726027397260275,18.76986301369863,81.96438356164384,77,0.5454545454545454,0.5011947448335865,1.0,0,1,77,30.614036384939766,7.862048039386044,29.065743944636683,18.359374999999996,59.36991286028918
RETINORM,75,50.361680365296806,20.026573357829335,54.76164383561644,18.263013698630136,86.93972602739726,75,0.64,0.4832323597540975,1.0,0,1,54,25.06981155972292,4.592643033400232,24.26226310582258,18.717546190073662,38.01422710677858
