cohort,count,mean,std,min,25%,50%,75%,max
FAMILIPO,81.0,52.83544731946559,18.694737777153147,11.547945205479452,41.827397260273976,57.30684931506849,69.17260273972603,79.0027397260274
MRCC,32.0,69.5765410958904,7.014792603366989,49.632876712328766,65.48561643835616,69.55479452054794,73.92602739726027,82.33972602739726
ORNET,77.0,54.35000889521437,12.931746536123889,18.76986301369863,45.175342465753424,55.726027397260275,63.701369863013696,81.96438356164384
RETINORM,75.0,50.3616803652968,20.02657335782933,18.263013698630136,30.43150684931507,54.76164383561644,68.06986301369864,86.93972602739726
