run_name,task,epoch,train_loss,val_loss,val_dice,val_f1,val_iou,val_pixel_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_specificity,val_fpr,val_fnr,val_pred_positive_rate,val_target_positive_rate,epoch_sec,eta_min
fold3_supdeep,supdeep,1,0.6761263589260995,0.7141272557246221,0.006706849206238985,0.006706849206238985,0.0033760673832148314,0.9311572313308716,0.49820569157600403,0.48372092843055725,0.0033768347930163145,0.0033768347930163145,0.9930346012115479,0.006965428125113249,0.996623158454895,0.007249675691127777,0.062346771359443665,82.62800621986389,81.25087278286615
fold3_supdeep,supdeep,2,0.6308023713209449,0.6292057842403264,0.6749346256256104,0.6749346256256104,0.5109248161315918,0.9585641622543335,0.8591825366020203,0.6554221510887146,0.7363650798797607,0.7363650798797607,0.9820000529289246,0.01799994707107544,0.26363489031791687,0.05378108099102974,0.06250012665987015,82.89775156974792,80.00411626497905
fold3_supdeep,supdeep,3,0.6132950247711081,0.6123775212795703,0.6808093786239624,0.6808093786239624,0.5195533633232117,0.960475504398346,0.9415078163146973,0.5559808611869812,0.9171679019927979,0.9171679019927979,0.9658477902412415,0.034152232110500336,0.08283206820487976,0.08371958881616592,0.06097756698727608,82.64547204971313,78.58755611578623
fold3_supdeep,supdeep,4,0.600245991359056,0.5932393631377777,0.747390866279602,0.747390866279602,0.5971680879592896,0.9649391174316406,0.949381947517395,0.6273831129074097,0.9309744834899902,0.9309744834899902,0.9677892923355103,0.03221068158745766,0.06902551651000977,0.08598576486110687,0.06314888596534729,83.05280995368958,77.28560928503673
fold3_supdeep,supdeep,5,0.5872311175066253,0.5879010875503738,0.7018015384674072,0.7018015384674072,0.5434749126434326,0.9603285789489746,0.9539157152175903,0.5657631158828735,0.945681095123291,0.945681095123291,0.9621503353118896,0.03784964978694916,0.054318930953741074,0.0917249247431755,0.06279001384973526,82.59478306770325,75.86678419113159
fold3_supdeep,supdeep,6,0.5799577352237386,0.5798746471281175,0.7488721609115601,0.7488721609115601,0.5989983081817627,0.9663291573524475,0.9499400854110718,0.6313110589981079,0.9297932386398315,0.9297932386398315,0.9700870513916016,0.029912931844592094,0.07020678371191025,0.08177487552165985,0.06130485609173775,82.55538487434387,74.45613116025925
fold3_supdeep,supdeep,7,0.5715428110789937,0.5659964092366108,0.7554734945297241,0.7554734945297241,0.610198974609375,0.9709718227386475,0.9535719752311707,0.6450926065444946,0.9321479201316833,0.9321479201316833,0.9749959707260132,0.025004010647535324,0.06785209476947784,0.07982253283262253,0.0635649561882019,82.71599984169006,73.07566905135201
fold3_supdeep,supdeep,8,0.5607534662725115,0.56494423785767,0.7766890525817871,0.7766890525817871,0.6349524259567261,0.9687540531158447,0.9540244340896606,0.6650518178939819,0.9365330338478088,0.9365330338478088,0.9715157747268677,0.028484202921390533,0.06346696615219116,0.08162268996238708,0.061499882489442825,82.60523414611816,71.68367285331091
fold3_supdeep,supdeep,9,0.5536343158274988,0.5543301283539116,0.7510696053504944,0.7510696053504944,0.604922890663147,0.9712698459625244,0.9571167230606079,0.6384247541427612,0.9388270378112793,0.9388270378112793,0.9754065275192261,0.02459350973367691,0.061172984540462494,0.07809989154338837,0.06205831095576286,82.52511596679688,70.2874971151352
fold3_supdeep,supdeep,10,0.545917531247973,0.5396465620437225,0.801662266254425,0.801662266254425,0.6694678068161011,0.9748904705047607,0.9540345072746277,0.7102967500686646,0.928481936454773,0.928481936454773,0.9795870780944824,0.020412903279066086,0.07151806354522705,0.07465577870607376,0.06288319826126099,82.4458270072937,68.88886539141338
