stage,fold,epoch,train_loss,train_macro_f1,train_balanced_accuracy,train_per_class_recall,val_loss,val_macro_f1,val_balanced_accuracy,val_per_class_recall,test_loss,test_macro_f1,test_balanced_accuracy,test_per_class_recall,lr,epoch_sec,elapsed_min,eta_min,grad_norm_mean,grad_norm_max,prototype_alpha,prototype_initialized_count
stage2,1,1,1.0919937585529529,0.2247132938474224,0.2601105612057329,"{""0"": 0.17721518987341772, ""1"": 0.20430107526881722, ""2"": 0.2358490566037736, ""3"": 0.4230769230769231}",0.9241407324996176,0.2589285714285714,0.39459247648902823,"{""0"": 0.896551724137931, ""1"": 0.0, ""2"": 0.18181818181818182, ""3"": 0.5}",0.9866582168045864,0.3448065712771595,0.4765745007680491,"{""0"": 0.9285714285714286, ""1"": 0.0967741935483871, ""2"": 0.21428571428571427, ""3"": 0.6666666666666666}",[0.0003],330.5044822692871,5.508408037821452,77.11771252950032,2.215272271633148,4.522180557250977,0.12670408189296722,4
stage2,1,2,0.9600540619147452,0.3943132243271207,0.4683027718036231,"{""0"": 0.46835443037974683, ""1"": 0.1827956989247312, ""2"": 0.4528301886792453, ""3"": 0.7692307692307693}",0.8809916082816788,0.3281349364069952,0.3593863033518206,"{""0"": 0.9655172413793104, ""1"": 0.15384615384615385, ""2"": 0.3181818181818182, ""3"": 0.0}",1.0102508875631517,0.4325840170844104,0.4514208909370199,"{""0"": 0.9285714285714286, ""1"": 0.25806451612903225, ""2"": 0.2857142857142857, ""3"": 0.3333333333333333}",[0.0003],330.9904901981354,11.045349550247192,71.66195535063744,1.8332843422889709,2.897102117538452,0.12676750123500824,4
stage2,1,3,0.8851284102389687,0.5555264791124732,0.6377084295140952,"{""0"": 0.7215189873417721, ""1"": 0.24731182795698925, ""2"": 0.7358490566037735, ""3"": 0.8461538461538461}",0.9019778846185419,0.4632936507936507,0.5329455027730889,"{""0"": 0.8275862068965517, ""1"": 0.5769230769230769, ""2"": 0.22727272727272727, ""3"": 0.5}",0.9725372035016295,0.549264705882353,0.5792050691244239,"{""0"": 0.8571428571428571, ""1"": 0.7096774193548387, ""2"": 0.25, ""3"": 0.5}",[0.0003],334.676753282547,16.645731711387633,66.4114483833313,3.225086486339569,6.307057857513428,0.12667079269886017,4
stage2,1,4,0.8396162924013639,0.6317770795186762,0.6751559585253739,"{""0"": 0.7341772151898734, ""1"": 0.6021505376344086, ""2"": 0.5566037735849056, ""3"": 0.8076923076923077}",0.8639139072804511,0.44905374831845424,0.5207077405353268,"{""0"": 0.8275862068965517, ""1"": 0.34615384615384615, ""2"": 0.4090909090909091, ""3"": 0.5}",0.9359344833640642,0.5233517773648856,0.6150153609831029,"{""0"": 0.8214285714285714, ""1"": 0.4838709677419355, ""2"": 0.32142857142857145, ""3"": 0.8333333333333334}",[0.0003],332.1698923110962,22.203182729085288,60.882324161132175,3.483314609527588,6.038712024688721,0.1264784336090088,4
stage2,1,5,0.7841533359728361,0.5847617317557235,0.6603729877601769,"{""0"": 0.7974683544303798, ""1"": 0.2903225806451613, ""2"": 0.7075471698113207, ""3"": 0.8461538461538461}",0.8967697590212279,0.4889346764346765,0.5607969616590307,"{""0"": 0.8620689655172413, ""1"": 0.6538461538461539, ""2"": 0.22727272727272727, ""3"": 0.5}",0.952449752438453,0.5641012155212716,0.6128072196620583,"{""0"": 0.8571428571428571, ""1"": 0.6774193548387096, ""2"": 0.25, ""3"": 0.6666666666666666}",[0.0003],334.4303078651428,27.788354539871214,55.42573086420695,2.810469150543213,3.868210792541504,0.12630200386047363,4
stage2,1,6,0.7803007176047877,0.6450689917845309,0.6868598608517482,"{""0"": 0.7721518987341772, ""1"": 0.5913978494623656, ""2"": 0.5377358490566038, ""3"": 0.8461538461538461}",0.9164142005051239,0.46101262337442284,0.5261936339522546,"{""0"": 0.7586206896551724, ""1"": 0.34615384615384615, ""2"": 0.5, ""3"": 0.5}",0.94979158524544,0.5288333828922589,0.6193356374807988,"{""0"": 0.8214285714285714, ""1"": 0.3225806451612903, ""2"": 0.5, ""3"": 0.8333333333333334}",[0.0003],334.15973949432373,33.379286241531375,49.92329163551331,2.715553879737854,3.8313159942626953,0.12607450783252716,4
stage2,1,7,0.7562482168799952,0.7081482999703946,0.7558503337460093,"{""0"": 0.8734177215189873, ""1"": 0.5483870967741935, ""2"": 0.7169811320754716, ""3"": 0.8846153846153846}",0.760857144488564,0.5162878787878789,0.5635399083674946,"{""0"": 0.8275862068965517, ""1"": 0.6538461538461539, ""2"": 0.2727272727272727, ""3"": 0.5}",0.8628466770213138,0.6011363636363637,0.6221198156682027,"{""0"": 0.8571428571428571, ""1"": 0.7741935483870968, ""2"": 0.35714285714285715, ""3"": 0.5}",[0.0003],340.0927724838257,39.05818462371826,44.514751198178246,2.937283968925476,4.870024681091309,0.12575405836105347,4
stage2,1,8,0.7226852366798803,0.7128300865800865,0.7611162489828791,"{""0"": 0.8354430379746836, ""1"": 0.6451612903225806, ""2"": 0.6792452830188679, ""3"": 0.8846153846153846}",0.7636024755767629,0.5830352203577356,0.729744393537497,"{""0"": 0.7931034482758621, ""1"": 0.8076923076923077, ""2"": 0.3181818181818182, ""3"": 1.0}",0.7983583801536149,0.6187624215627163,0.654857910906298,"{""0"": 0.8214285714285714, ""1"": 0.7741935483870968, ""2"": 0.35714285714285715, ""3"": 0.6666666666666666}",[0.0003],332.21876645088196,44.61636880636215,38.92646339684725,2.8469552278518675,4.64552640914917,0.12552599608898163,4
stage2,1,9,0.6708631797840721,0.774436197351281,0.798474066900918,"{""0"": 0.9113924050632911, ""1"": 0.8064516129032258, ""2"": 0.7452830188679245, ""3"": 0.7307692307692307}",0.9656323315222052,0.5372084485065434,0.6887509042681457,"{""0"": 0.5172413793103449, ""1"": 0.6923076923076923, ""2"": 0.5454545454545454, ""3"": 1.0}",0.9727540093083535,0.5530217901113934,0.6532258064516129,"{""0"": 0.5, ""1"": 0.6129032258064516, ""2"": 0.5, ""3"": 1.0}",[0.0003],331.92677998542786,50.17058693170547,33.34633315934075,3.0669864892959593,5.43665885925293,0.12533600628376007,4
stage2,1,10,0.7402530845842863,0.7331746123017471,0.7770404248606749,"{""0"": 0.7721518987341772, ""1"": 0.7634408602150538, ""2"": 0.7264150943396226, ""3"": 0.8461538461538461}",0.8240014639081834,0.5558956916099773,0.6193332529539426,"{""0"": 0.6206896551724138, ""1"": 0.5384615384615384, ""2"": 0.8181818181818182, ""3"": 0.5}",0.8874787566482379,0.6285822510822511,0.6336405529953917,"{""0"": 0.6785714285714286, ""1"": 0.6774193548387096, ""2"": 0.6785714285714286, ""3"": 0.5}",[0.0003],330.8199260234833,55.69615236123403,27.766582586367925,4.090948307514191,7.05213737487793,0.12501361966133118,4
